cluster_rank,cluster_id,category,board,title,summary,status,votes,comments,url
1,3,ago / post / comments / posts,feature suggestions,API Key / Token,API Key / Token. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 9 9 API Key / Token I would like to be able to create an access token without using Oauth2 for quicker and easier integration with your...,closed,,26,https://suggestions.buffer.com/p/api-key-token?b=feature-suggestions
1,3,ago / post / comments / posts,buffer api,API permissions / scopes,"API permissions / scopes. Buffer Sign in with Buffer Buffer API Roadmap What's New 4 4 API permissions / scopes It’d be great to have API permissions or scopes, so that we can create a key with limited powers. Context:...",in progress,,26,https://suggestions.buffer.com/p/api-permissions-scopes?b=buffer-api
1,3,ago / post / comments / posts,feature suggestions,Archive Content Ideas (including in bulk),Archive Content Ideas (including in bulk). Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 12 12 Archive Content Ideas (including in bulk) Bulk delete create ideas in create ideas Comments Join the...,in progress,,26,https://suggestions.buffer.com/p/archive-content-ideas-including-in-bulk?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,Bulk add/remove tags to Ideas,"Bulk add/remove tags to Ideas. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 6 6 Bulk add/remove tags to Ideas It would be really helpful to select multiple Ideas on a content board, and apply one or...",in progress,,26,https://suggestions.buffer.com/p/bulk-add-remove-tags-to-ideas?b=feature-suggestions
1,3,ago / post / comments / posts,buffer api,Community API,Community API. Buffer Sign in with Buffer Buffer API Roadmap What's New 1 1 Community API Feature : Extending the current Buffer API with Community endpoints ⭐️ Goal : allow users to automate comment replies Use case :...,in progress,,26,https://suggestions.buffer.com/p/community-api?b=buffer-api
1,3,ago / post / comments / posts,feature suggestions,Custom post templates,Custom post templates. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 47 47 Custom post templates Is there a way to save your own post templates? It would make your work much easier. Comments Join the...,in progress,,26,https://suggestions.buffer.com/p/custom-post-templates?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,More Posting schedule options,"More Posting schedule options. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 20 20 More Posting schedule options Currently, we have to input/configure out posting schedule 7 times (for each day). And...",in progress,,26,https://suggestions.buffer.com/p/more-posting-schedule-options?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,Notes Functionality on Mobile Apps,Notes Functionality on Mobile Apps. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 7 7 Notes Functionality on Mobile Apps It would be great for notes to be accessible on the Buffer mobile apps as...,in progress,,26,https://suggestions.buffer.com/p/notes-functionality-on-mobile-apps?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,Notification Customization,"Notification Customization. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 9 9 Notification Customization There’s a pop up everytime I queue a post and it pops up in the most aggravating place, the...",in progress,,26,https://suggestions.buffer.com/p/notification-customization?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,Notification for notes left,Notification for notes left. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 16 16 Notification for notes left To be notified when someone leaves a comment on a draft or post Comments Join the...,in progress,,26,https://suggestions.buffer.com/p/notification-for-notes-left?b=feature-suggestions
